Category,Aantal per 100.000 inwoners,Aantal
Doetinchem,20.7,12
Dongen,57.2,15
Dordrecht,59.5,71
Drechterland,15.2,3
Drimmelen,66.0,18
Dronten,60.1,25
Druten,111.0,21
Duiven,47.8,12
Echt-Susteren,113.9,36
Edam-Volendam,52.5,19
Ede,44.4,52
Eemnes,21.6,2
Eersel,113.9,22
Eijsden-Margraten,190.3,49
Eindhoven,60.6,142
Elburg,69.1,16
Emmen,14.0,15
Enkhuizen,96.8,18
Enschede,30.0,48
Epe,81.4,27
Ermelo,66.7,18
Etten-Leur,86.6,38
Geertruidenberg,46.4,10
Geldrop-Mierlo,62.9,25
Gemert-Bakel,231.1,71
Gennep,88.6,15
Gilze en Rijen,64.3,17
Goeree-Overflakkee,103.9,52
Goes,28.9,11
Goirle,104.6,25
Gooise Meren,39.6,23
Gorinchem,43.2,16
Gouda,43.6,32
Grave,144.7,18
Groningen,6.9,16
Gulpen-Wittem,112.9,16
Haaksbergen,57.6,14
Haaren,118.3,17
Haarlem,33.1,54
Haarlemmermeer,36.5,57
Halderberge,42.9,13
Hardenberg,37.7,23
Harderwijk,39.2,19
Hardinxveld-Giessendam,5.5,1
Harlingen,25.4,4
Hattem,90.1,11
Heemskerk,63.8,25
Heemstede,36.7,10
Heerde,161.4,30
Heerenveen,25.7,13
Heerhugowaard,43.4,25
Heerlen,116.0,101
Heeze-Leende,80.5,13
Heiloo,37.5,9
Hellendoorn,19.5,7
Hellevoetsluis,34.9,14
Helmond,97.4,90
Hendrik-Ido-Ambacht,19.2,6
Hengelo,20.9,17
Het Hogeland,14.6,7
Heumen,103.3,17
Heusden,89.5,40
Hillegom,31.5,7
Hilvarenbeek,45.1,7
Hilversum,26.4,24
Hoeksche Waard,76.6,67
Hof van Twente,40.0,14
Hollands Kroon,53.7,26
Hoogeveen,21.5,12
Hoorn,39.6,29
Horst aan de Maas,94.3,40
Houten,45.9,23
Huizen,43.6,18
Hulst,29.0,8
IJsselstein,96.7,33
Kaag en Braassem,22.0,6
Kampen,104.9,57
Kapelle,15.8,2
Katwijk,33.5,22
Kerkrade,115.9,53
Koggenland,26.4,6
Krimpen aan den IJssel,30.5,9
Krimpenerwaard,71.0,40
Laarbeek,155.3,35
Landerd,190.7,30
Landgraaf,122.8,46
Landsmeer,26.1,3
Langedijk,56.8,16
Lansingerland,56.1,35
Laren,71.0,8
